,APA,BKR,BP,COP,CTRA,CVX,DK,DVN,ENB,EOG,ET,FANG,FTI,HAL,HES,KMI,MPC,NOV,OKE,PBF,PSX,SHEL,SLB,TTE,VLO,WMB,XOM
2020-08-28,-349.62090251428333,0.0,0.0,0.0,1500.0,0.0,1499.9999999999986,-874.9999999999994,879.9598565961339,0.0,1500.0,-699.042492789153,0.0,-874.9999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.336604696565,1120.0401434038642,0.0,0.0,0.0
2020-09-04,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2020-09-11,-327.3475353138583,0.0,0.0,0.0,1500.0,0.0,1499.9999999999998,-875.0000000000006,805.3552045619563,0.0,1499.9999999999952,-574.3438166542924,-7.408974598555392e-12,-874.9999999999998,0.0,0.0,0.0,0.0,-429.053208195838,0.0,0.0,0.0,-419.25543983600767,1194.644795438049,1.0495247729746415e-12,0.0,0.0
2020-09-18,-268.4199141106868,0.0,0.0,0.0,1500.0,0.0,1500.0,-875.0,997.4433044270829,0.0,1500.0,-875.0,0.0,-875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-606.5800858893122,1002.5566955729174,0.0,0.0,0.0
2020-09-25,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2020-10-02,-488.8209139234183,0.0,3.654007212608502e-12,-1.5872782156565162e-12,1500.0,0.0,1500.0,-874.9999999999902,499.9999999999949,0.0,1499.999999999996,-875.0000000000017,0.0,-875.0000000000214,0.0,2.5242286469121522e-12,0.0,0.0,0.0,0.0,0.0,3.925284948463331e-12,-386.17908607656796,1499.9999999999984,0.0,2.7909255903836526e-12,4.611035705714611e-12
2020-10-09,-198.8281401309425,0.0,2.0954307462789386e-12,0.0,1500.0,1.1955521375010462e-12,1499.9999999999916,-874.9999999999773,892.7280312541749,0.0,1499.9999999999961,-676.1718598690595,0.0,-875.0000000000097,0.0,1.6125983049119653e-12,2.5397305845511634e-12,-4.417646185780357e-12,-875.0000000000201,-1.3728566502649886e-12,1.0042240911704664e-12,1.8685536993041107e-12,0.0,1107.2719687458243,0.0,1.8140271190604079e-12,0.0
2020-10-16,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2020-10-23,-588.9873779714875,189.22928008333557,377.07847667499385,9.920445761322298,1500.0,280.0994020378094,-8.023373080558443,-397.7717883373484,604.635510143018,146.7810735592662,439.5562408522152,-380.31269891377997,-169.65938921516036,-452.8562323439626,15.092394269297415,426.36625637533524,-20.79742584514382,-183.3350925785173,-300.1679690585156,-568.3350759146782,291.4840507025406,350.10901744566314,-140.3380546616064,532.9599763403168,213.45669999228096,369.7894675289181,464.0261861544464
2020-10-30,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2020-11-06,-219.9428214759066,0.0,0.0,-4.636358344677679e-11,1500.0,0.0,1500.0,-874.9999999999641,1150.486006354405,0.0,849.5139936455911,-875.000000000064,0.0,-875.0000000000244,0.0,0.0,0.0,0.0,-489.6697020509785,2.8464073963523963e-12,0.0,0.0,-165.38747647311124,1500.0,0.0,0.0,0.0
2020-11-13,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
